"","tx","membership","pvalue"
"116","XM_013091528.1",-0.254494911484424,0.0297963089998877
"117","XM_005089080.2",0.0827387590051805,0.486482969068015
"118","XM_013091282.1",-0.233417927915023,0.0468727649125789
"119","XM_005089033.2",0.0223477966455073,0.851137322056797
"120","XM_005089035.2",0.742395154268003,5.61048408714894e-14
"121","XM_005089037.2",-0.589196223019039,4.16661827799231e-08
"122","XM_013091474.1",0.597437312400692,2.40703954581844e-08
"123","XM_005089044.2",-0.873588650833158,6.68325735413019e-24
"124","XM_005089045.2",0.439482002139269,0.000100231188072779
"125","XM_005089046.2",0.555824135799619,3.31287058633855e-07
"126","XM_005089047.2",0.261915476818378,0.0251940358361548
"127","XM_013091340.1",0.154129171163875,0.192934713836569
"128","XM_005089050.2",0.50497945380917,5.21218374755648e-06
"129","XM_005089048.2",0.00322069277037702,0.978425657198181
"130","XR_001185535.1",0.0914375578103661,0.441672210162437
"131","XM_005089052.2",0.669266894825622,9.62167030513811e-11
"132","XM_013091382.1",-0.14321261399352,0.226765794998642
"133","XM_005089054.2",-0.112272148569155,0.344305945680867
"134","XM_005089055.2",0.108543074859868,0.360669338410122
"135","XM_005089056.2",-0.751489177693336,1.86255285717343e-14
"136","XM_005089088.2",-0.410398319970068,0.000310747205313683
"137","XM_005089089.2",-0.560240894772629,2.55072956963201e-07
"138","XM_013091555.1",0.440569984839694,9.5883507759426e-05
"139","XM_005089091.2",-0.179739043387643,0.128107665347781
"140","XM_005089093.2",-0.783352103994971,2.6022862208682e-16
"141","XM_005089094.2",0.402978158900668,0.000408145643922427
"142","XM_005089095.2",0.307151194250578,0.00821191218163155
"143","XM_013079147.1",-0.304499398588879,0.00881218076101289
"144","XM_005089097.1",0.442811859561007,8.74688461317882e-05
"145","XM_005089098.2",0.342319689410586,0.00303254625514232
"146","XM_005089103.2",0.539483545762626,8.44012751449333e-07
"147","XM_005089106.2",-0.165208210062012,0.162475062802643
"148","XM_005089105.2",0.0597347341301947,0.615658016370725
"149","XM_013079174.1",0.21693876313585,0.0652479401459872
"150","XM_005089110.2",-0.304976755694238,0.00870137513999515
"151","XM_005089112.2",0.0886422805201629,0.455813667797038
"152","XM_005089111.2",0.430008111013371,0.000146548585959278
"153","XM_005089117.2",0.306114010652065,0.00844228850939011
"154","XM_005089118.2",0.394714654729548,0.000548896466586872
"155","XM_005089120.2",0.122738680859616,0.300903676638581
"156","XM_005089122.2",0.735002142373051,1.32990306466515e-13
"157","XM_005089124.2",-0.376448212434069,0.00102888855072956
"158","XM_005089126.2",0.0572725900599454,0.63031272520594
"159","XM_005089130.2",0.0480797000520778,0.686259281837127
"160","XM_005089131.2",-0.228084538927547,0.0522843776464541
"161","XM_005089132.2",0.332119463978911,0.00409671365538389
"162","XM_005089134.2",-0.420532934705013,0.00021193070275917
"163","XM_005089135.2",0.361862967886311,0.00165670049251065
"164","XM_005089138.2",0.406135245744267,0.000363722833227281
"165","XM_005089139.2",0.540473644906378,7.98632837538625e-07
"166","XM_005089167.2",0.0597685304348265,0.615457882850035
"167","XM_013079311.1",-0.149453211216025,0.206952111551452
"168","XM_013079322.1",0.106926936526354,0.367906924911249
"169","XM_005089141.2",0.125153437522102,0.291420655733092
"170","XM_005089143.2",-0.562482901354737,2.23047681588673e-07
"171","XM_013079355.1",0.619848689801905,4.99138028044183e-09
"172","XM_005089281.2",0.327479503132627,0.00468212009294956
"173","XM_005089176.2",0.534811771782655,1.09288501129253e-06
"174","XM_005089182.2",-0.226911638843097,0.0535405790297181
"175","XM_005089181.2",-0.355795393318522,0.00200689299521486
"176","XM_013079616.1",-0.186181273544866,0.114772212605063
"177","XM_005089188.2",0.547582882661955,5.34234522325789e-07
"178","XM_013079632.1",0.187520439050824,0.112139418261486
"179","XM_005089189.2",0.456743151296403,4.87125464641802e-05
"180","XM_005089191.2",-0.164082433451537,0.165397345736019
"181","XM_013079647.1",-0.61492676643761,7.12644327081618e-09
"182","XM_005089197.2",-0.0455307010295319,0.702091537665379
"183","XR_001184666.1",-0.28409542430426,0.0148574581617945
"184","XM_005089199.2",0.10683934815482,0.368301685330799
"185","XM_013079694.1",0.0497644841581528,0.675867784935028
"186","XM_005089202.2",0.450283456331775,6.41038519464283e-05
"187","XM_005089204.2",0.754736379482205,1.24193001472335e-14
"188","XM_005089206.2",0.197872731373824,0.0933310993247587
"189","XM_005089216.2",0.826967312994911,1.99331647527665e-19
"190","XM_005089219.2",0.23019265687214,0.0500872119921648
"191","XM_005089220.2",0.340210041729446,0.00322982247674322
"192","XM_005089223.2",-0.564923739190952,1.92518899667837e-07
"193","XM_005089224.2",-0.564248569296336,2.00542841438157e-07
"194","XM_005089228.2",0.863193849368042,9.17425673128711e-23
"195","XM_005089231.2",-0.266016928229384,0.0229193868489236
"196","XM_005089232.2",0.0487522260452689,0.682104144889721
"197","XM_013079812.1",0.128648533736611,0.278047002152429
"198","XM_013079828.1",0.155738827172361,0.188271082056667
"199","XM_005089246.2",0.471173475154823,2.58490873431204e-05
"200","XM_005089247.2",0.323060463332784,0.00530735525593246
"201","XM_013079872.1",0.162966892407677,0.168331063278381
"202","XM_013079885.1",0.167066590454038,0.15773477980256
"203","XM_005089252.2",0.346814351327581,0.0026476997996597
"204","XM_005089262.2",-0.557759339086764,2.95569027078215e-07
"205","XM_013079945.1",-0.346653855463653,0.00266065168114252
"206","XM_005089264.2",-0.375023052490295,0.00107896172523847
"207","XM_005089267.2",-0.379784618192255,0.000919791895210258
