Run	Number_of_input_reads	Uniquely_mapped_reads_number_Genome	Uniquely_mapped_reads_number_Virus	Library.Name	Age	Tissue	study	BioProject	SRA_Study	Study_Nickname	Age_True	cohort					
SRR12061211	19621152	17368375	1167	P43	11	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	11.6	77					
SRR12061222	14878573	12910734	66677	P33	11	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	11.6	77					
SRR12061244	25448284	22455380	1364	P16	11	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	11.6	77					
SRR12061245	18327910	15669495	31812	P15	11	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	11.6	77					
SRR12061246	11726827	10133662	2436	P14	11	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	11.6	77					
SRR12061247	19348306	15900522	273	P13	11	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	11.6	77					
SRR12061248	19421283	15440508	8549	P12	11	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	11.6	77					
SRR12061177	16203458	13975031	4497	P97	10	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	10.4	77					
SRR12061184	21704610	18961930	7778	P91	10	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	10.4	77					
SRR12061193	19424767	16659764	10900	P83	10	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	10.4	77					
SRR12061197	24373733	21495134	8860	P79	10	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	10.4	77					
SRR12061199	16198112	14298672	2168	P77	10	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	10.4	77					
SRR12061204	18692066	16507117	22363	P73	10	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	10.4	77					
SRR12061212	23988747	21432799	11899	P42	10	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	10.4	77					
SRR12061223	17305654	15192198	4297	P32	10	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	10.4	77					
SRR12061224	16618840	14735848	14464	P31	10	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	10.4	77					
SRR12061235	19442547	16551852	58	P10	10	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	10.4	77					
SRR12061237	22877479	18717009	7156	P09	10	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	10.4	77					
SRR12061249	26218827	22716625	7619	P11	10	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	10.4	77					
SRR12061181	17847355	15019622	9572	P08	9	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	9.3	77					
SRR12061182	14063710	12368467	2	P93	9	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	9.3	77					
SRR12061183	30661902	26575297	6083	P92	9	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	9.3	77					
SRR12061192	14204547	11666582	13	P07	9	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	9.3	77					
SRR12061198	16953833	14823371	520	P78	9	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	9.3	77					
SRR12061203	16545661	13682350	5253	P06	9	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	9.3	77					
SRR12061213	15325187	13422011	12	P41	9	BSC	Kron 2020	PRJNA639857	SRP268155 	Kron_BSC	9.3	77					
